danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.777,0.783,0.0,-4.477,0.0,0.26,0.0283,0.0,0.355,0.939,149.027,audio_features,5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,169917.0,4.0
0.521,0.592,6.0,-7.777,0.0,0.0304,0.308,0.0,0.122,0.535,157.969,audio_features,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668.0,3.0
0.747,0.507,2.0,-10.171,1.0,0.0358,0.2,0.0608,0.117,0.438,104.978,audio_features,6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,210373.0,4.0
0.778,0.719,4.0,-9.698,1.0,0.0345,0.0123,0.0262,0.297,0.729,115.4,audio_features,569uHYIB0X324FZOBEhvit,spotify:track:569uHYIB0X324FZOBEhvit,https://api.spotify.com/v1/tracks/569uHYIB0X324FZOBEhvit,https://api.spotify.com/v1/audio-analysis/569uHYIB0X324FZOBEhvit,239133.0,4.0
0.66,0.756,0.0,-3.743,0.0,0.032,0.00289,0.0,0.193,0.838,116.034,audio_features,7tI8dRuH2Yc6RuoTjxo4dU,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU,170888.0,4.0
0.694,0.651,6.0,-6.968,1.0,0.0784,0.496,1.36e-05,0.0787,0.471,112.648,audio_features,1cOboCuWYI2osTOfolMRS6,spotify:track:1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/audio-analysis/1cOboCuWYI2osTOfolMRS6,225881.0,3.0
0.576,0.884,0.0,-5.058,1.0,0.555,0.357,0.0,0.368,0.373,150.45,audio_features,1QoyuMHNBe7lg3YW4Qtll4,spotify:track:1QoyuMHNBe7lg3YW4Qtll4,https://api.spotify.com/v1/tracks/1QoyuMHNBe7lg3YW4Qtll4,https://api.spotify.com/v1/audio-analysis/1QoyuMHNBe7lg3YW4Qtll4,197020.0,4.0
0.541,0.504,11.0,-14.191,0.0,0.457,0.375,0.0,0.421,0.707,68.482,audio_features,0xxZY5C9xxij3D1HkzbnfC,spotify:track:0xxZY5C9xxij3D1HkzbnfC,https://api.spotify.com/v1/tracks/0xxZY5C9xxij3D1HkzbnfC,https://api.spotify.com/v1/audio-analysis/0xxZY5C9xxij3D1HkzbnfC,192040.0,4.0
0.674,0.907,3.0,-4.086,1.0,0.064,0.101,0.0,0.297,0.721,112.964,audio_features,5G2f63n7IPVPPjfNIGih7Q,spotify:track:5G2f63n7IPVPPjfNIGih7Q,https://api.spotify.com/v1/tracks/5G2f63n7IPVPPjfNIGih7Q,https://api.spotify.com/v1/audio-analysis/5G2f63n7IPVPPjfNIGih7Q,157280.0,4.0
0.574,0.659,5.0,-7.377,0.0,0.0768,0.0412,0.0002,0.0921,0.506,127.347,audio_features,0xGQTpN4ESETtl1Sp6rzd2,spotify:track:0xGQTpN4ESETtl1Sp6rzd2,https://api.spotify.com/v1/tracks/0xGQTpN4ESETtl1Sp6rzd2,https://api.spotify.com/v1/audio-analysis/0xGQTpN4ESETtl1Sp6rzd2,301623.0,4.0
